Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Desert Mercenary	Def-Nightmare	100	10	338	2	2	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	3	7	14	8	0	5	pole	spea	def	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	3	7	14	8	0	5	pole	spea	off	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	4	7	14	8	0	5	pole	spea	comb	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	4	7	14	8	0	5	pole	spea	def	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	4	7	14	8	0	5	pole	spea	off	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36		1	7	4	0	5	swor	shie	fire	0	Fire Wall	7	900	0	40	1	Conviction	1	160		9	1	Inferno	7	130	0	5	2	Warmth	1	0	0	5	2	Fire Mastery	1	0	0	5	2	Chilling Armor	7	100	0	4	2	2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36		1	7	4	0	5	swor	shie	cold	0	Blizzard	7	900	0	35	1	Conviction	1	160		9	1	Glacial Spike	7	130	0	5	2	Ice Blast	7	0	0	5	2	Cold Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36		1	7	4	0	5	swor	shie	ltng	0	Chain Lightning	7	900	0	35	1	Conviction	1	160		9	1	Lightning	7	130	0	5	2	Nova	7	0	0	5	2	Lightning Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36	3	1	7	4	0	5	swor	shie	fire	0	Fire Wall	7	900	0	40	1	Conviction	1	160		9	1	Inferno	7	130	0	5	2	Warmth	1	0	0	5	2	Fire Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36	3	1	7	4	0	5	swor	shie	cold	0	Blizzard	7	900	0	35	1	Conviction	1	160		9	1	Glacial Spike	7	130	0	5	2	Ice Blast	7	0	0	5	2	Cold Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36	3	1	7	4	0	5	swor	shie	ltng	0	Chain Lightning	7	900	0	35	1	Conviction	1	160		9	1	Lightning	7	130	0	5	2	Nova	7	0	0	5	2	Lightning Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36	5	1	7	4	0	5	swor	shie	fire	0	Fire Wall	7	900	0	40	1	Conviction	1	160		9	1	Inferno	7	130	0	5	2	Warmth	1	0	0	5	2	Fire Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36	5	1	7	4	0	5	swor	shie	cold	0	Blizzard	7	900	0	35	1	Conviction	1	160		9	1	Glacial Spike	7	130	0	5	2	Ice Blast	7	0	0	5	2	Cold Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	15	252	merca222	merca241	1000	100	160	45	80	25	49	10	40	8	15	36	5	1	7	4	0	5	swor	shie	ltng	0	Chain Lightning	7	900	0	35	1	Conviction	1	160		9	1	Lightning	7	130	0	5	2	Nova	7	0	0	5	2	Lightning Mastery	1	0	0	5	2	Chilling Armor	7	100	0	5	2	2	2	2	1
Barbarian	1hs-Normal	100	24	561	5	1	28	515	MercX101	MercX167	9000	100	400	80	180	50	101	15	63	10	150	45	1	16	20	8	0	5	swor			0	Frenzy	5	1000	0	6	2	Cloak of Shadows	5	160		6	2	Concentration	1	130	0	20	1	Axe Mastery	1	0	0	6	2	Sword Mastery	1	0	0	6	2	Iron Skin	1	0	0	6	2	0	0	0	0
Barbarian	1hs-Normal	100	25	561	5	1	28	515	MercX101	MercX167	9000	100	400	80	180	50	101	15	63	10	150	45	1	16	20	8	0	5	swor			0	Frenzy	5	1000	0	6	2	Cloak of Shadows	5	160		6	2	Concentration	1	130	0	20	1	Axe Mastery	1	0	0	6	2	Sword Mastery	1	0	0	6	2	Iron Skin	1	0	0	6	2	0	0	0	0
Barbarian	1hs-Nightmare	100	26	561	5	2	28	515	MercX101	MercX167	9000	100	400	80	180	50	101	15	63	10	150	45	4	16	20	8	0	5	swor			0	Frenzy	5	1000	0	6	2	Cloak of Shadows	5	160		6	2	Concentration	1	130	0	20	1	Axe Mastery	1	0	0	6	2	Sword Mastery	1	0	0	6	2	Iron Skin	1	0	0	6	2	0	0	0	0
Barbarian	1hs-Nightmare	100	27	561	5	2	28	515	MercX101	MercX167	9000	100	400	80	180	50	101	15	63	10	150	45	4	16	20	8	0	5	swor			0	Frenzy	5	1000	0	6	2	Cloak of Shadows	5	160		6	2	Concentration	1	130	0	20	1	Axe Mastery	1	0	0	6	2	Sword Mastery	1	0	0	6	2	Iron Skin	1	0	0	6	2	0	0	0	0
Barbarian	1hs-Hell	100	28	561	5	3	28	515	MercX101	MercX167	9000	100	400	80	180	50	101	15	63	10	150	45	6	16	20	8	0	5	swor			0	Frenzy	5	1000	0	6	2	Cloak of Shadows	5	160		6	2	Concentration	1	130	0	20	1	Axe Mastery	1	0	0	6	2	Sword Mastery	1	0	0	6	2	Iron Skin	1	0	0	6	2	0	0	0	0
Barbarian	1hs-Hell	100	29	561	5	3	28	515	MercX101	MercX167	9000	100	400	80	180	50	101	15	63	10	150	45	6	16	20	8	0	5	swor			0	Frenzy	5	1000	0	6	2	Cloak of Shadows	5	160		6	2	Concentration	1	130	0	20	1	Axe Mastery	1	0	0	6	2	Sword Mastery	1	0	0	6	2	Iron Skin	1	0	0	6	2	0	0	0	0
