Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Cave 3	10	0	0			3	200	200	200	200	200	200	1500	1600	0	1	1	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	4	37	69	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1														skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													rat	chicken	bat	bunny	30	30	30	30					0	4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 4	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	1	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	5	30	55	5	38	80	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1			skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		rat	chicken	bat	bunny	30	30	30	30					0	4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 5	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	1	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	39	85	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1			skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		rat	chicken	bat	bunny	30	30	30	30					0	4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	1
Act 1 - Cave 2 Treasure	13	0	0			6	24	24	24	24	24	24	1500	2500	0	1	1	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	2	37	78	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1														skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													rat	chicken	bat	bunny	30	30	30	30					0	4	255	Cave Level 2	To The Cave Level 2	A1L14	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 3 Treasure	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	1	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	4	38	83	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1														skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													rat	chicken	bat	bunny	30	30	30	30					0	4	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 4 Treasure	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	1	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	5	30	55	5	39	81	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1			skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		rat	chicken	bat	bunny	30	30	30	30					0	4	255	Hole Level 2	To The Hole Level 2	A1L16	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 5 Treasure	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	1	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	40	85	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1			skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		rat	chicken	bat	bunny	30	30	30	30					0	4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	1
Act 1 - Graveyard	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	3	28	53	3	36	80	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1														skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													rat	chicken	bat	bunny	30	30	30	30					0	2	255	Burial Grounds	To The Burial Grounds	A1L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 1 A	18	0	0			10	200	200	200	200	200	200	2000	1000	0	1	1	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	37	83	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1														skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													rat	chicken	bat	bunny	30	30	30	30					8	5	255	Crypt	To The Crypt	A1L19	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Crypt 2 A	19	0	0			11	200	200	200	200	200	200	2000	1300	0	1	1	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	37	85	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1														skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													skeleton1	zombie1	fallen1	brute1	fallenshaman1	quillrat1	zombie2	foulcrow1	goatman1	cr_archer1	cr_lancer1	crownest1	corruptrogue1													rat	chicken	bat	bunny	30	30	30	30					8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Tower 2	20	0	0			12	8	8	8	8	8	8	2000	1600	0	1	1	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57				1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25																																																																													rat	chicken	bat	bunny	30	30	30	30					0	5	255	Forgotten Tower	To The Forgotten Tower	A1L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 A	21	0	0			13	200	200	200	200	200	200	2500	1000	0	1	1	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57	7	38	75	1500	1500	6500	6500	6500	6500	6500	6500	6500	1	0	25	skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1			skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		skeleton2	bighead3	fallen2	brute2	sk_archer1	fallenshaman2	quillrat2	foulcrow2	crownest2	wraith1	goatman2	cr_archer2	cr_lancer2	corruptrogue2	skeleton3	skmage_fire1	fallen3	brute3	sk_archer2	fallenshaman3	quillrat3	skmage_ltng1	skmage_pois1	skmage_cold1		rat	chicken	bat	bunny	30	30	30	30					8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
